id,texto_original,etiqueta_original,texto_limpio
1,"Excelente producto, llegó antes de lo esperado y en perfectas condiciones.",positivo,excelente producto llego antes de lo esperado y en perfectas condiciones
2,"Muy buena calidad, superó mis expectativas completamente.",positivo,muy buena calidad supero mis expectativas completamente
3,"Lo recomiendo ampliamente, funciona perfecto desde el primer día.",positivo,lo recomiendo ampliamente funciona perfecto desde el primer dia
4,Llegó bien empacado y funciona de maravilla.,positivo,llego bien empacado y funciona de maravilla
5,"Increíble producto, vale cada centavo.",positivo,increible producto vale cada centavo
6,El envío fue rapidísimo y el producto es exactamente lo que buscaba.,positivo,el envio fue rapidisimo y el producto es exactamente lo que buscaba
7,"Muy satisfecho con mi compra, todo llegó en orden.",positivo,muy satisfecho con mi compra todo llego en orden
8,"Buena calidad, buen precio. Definitivamente volvería a comprar.",positivo,buena calidad buen precio definitivamente volveria a comprar
9,"Funciona perfecto, mi familia quedó encantada con el producto.",positivo,funciona perfecto mi familia quedo encantada con el producto
10,"Excelente vendedor, muy buena comunicación y producto de calidad.",positivo,excelente vendedor muy buena comunicacion y producto de calidad
11,"Me llegó en tiempo y forma, sin ningún problema.",positivo,me llego en tiempo y forma sin ningun problema
12,La calidad es mucho mejor de lo que esperaba por ese precio.,positivo,la calidad es mucho mejor de lo que esperaba por ese precio
13,"Producto auténtico, tal como se describe. Muy contento.",positivo,producto autentico tal como se describe muy contento
14,"Perfectamente embalado, sin daños. Funciona al 100%.",positivo,perfectamente embalado sin danos funciona al 100
15,"Gran compra, lo recomiendo sin dudarlo.",positivo,gran compra lo recomiendo sin dudarlo
16,El producto llegó rápido y está en perfectas condiciones.,positivo,el producto llego rapido y esta en perfectas condiciones
17,"Estoy muy contento, el artículo es de excelente calidad.",positivo,estoy muy contento el articulo es de excelente calidad
18,"Superó todas mis expectativas, volveré a comprar.",positivo,supero todas mis expectativas volvere a comprar
19,"Muy buen artículo, precio justo y envío rápido.",positivo,muy buen articulo precio justo y envio rapido
20,"Producto de alta calidad, llegó perfectamente empacado.",positivo,producto de alta calidad llego perfectamente empacado
21,"Me encantó, es exactamente como en las fotos.",positivo,me encanto es exactamente como en las fotos
22,"Excelente relación calidad-precio, muy recomendable.",positivo,excelente relacion calidad precio muy recomendable
23,El artículo llegó antes de lo esperado y en buen estado.,positivo,el articulo llego antes de lo esperado y en buen estado
24,"Muy conforme con la compra, el producto es de primera.",positivo,muy conforme con la compra el producto es de primera
25,"Muy buen producto, el vendedor respondió rápido mis dudas.",positivo,muy buen producto el vendedor respondio rapido mis dudas
26,"Todo perfecto, desde el embalaje hasta el funcionamiento.",positivo,todo perfecto desde el embalaje hasta el funcionamiento
27,Llegó en tiempo récord y funciona de manera excelente.,positivo,llego en tiempo record y funciona de manera excelente
28,"Producto de calidad premium, muy satisfecho con la compra.",positivo,producto de calidad premium muy satisfecho con la compra
29,"Excelente experiencia de compra, lo recomiendo totalmente.",positivo,excelente experiencia de compra lo recomiendo totalmente
30,El producto es tal cual lo describe el vendedor. Muy bueno.,positivo,el producto es tal cual lo describe el vendedor muy bueno
31,Muy buen producto y excelente atención al cliente.,positivo,muy buen producto y excelente atencion al cliente
32,"Llegó rápido, bien empacado y en perfectas condiciones.",positivo,llego rapido bien empacado y en perfectas condiciones
33,"Producto genial, mis hijos quedaron felices.",positivo,producto genial mis hijos quedaron felices
34,"Funciona perfecto desde el primer uso, muy contento.",positivo,funciona perfecto desde el primer uso muy contento
35,"Excelente compra, lo mejor que he adquirido en línea.",positivo,excelente compra lo mejor que he adquirido en linea
36,"Muy buena calidad, sin defectos. 100% recomendado.",positivo,muy buena calidad sin defectos 100 recomendado
37,El envío fue muy rápido y el producto es de excelente calidad.,positivo,el envio fue muy rapido y el producto es de excelente calidad
38,"Satisfecho al 100%, producto tal como se describe.",positivo,satisfecho al 100 producto tal como se describe
39,Producto de calidad y precio accesible. Lo recomiendo.,positivo,producto de calidad y precio accesible lo recomiendo
40,"Todo en orden, el artículo cumple todas mis expectativas.",positivo,todo en orden el articulo cumple todas mis expectativas
41,"El producto llegó perfecto, el vendedor es confiable.",positivo,el producto llego perfecto el vendedor es confiable
42,"Muy buen artículo, lo usé de inmediato y funciona perfecto.",positivo,muy buen articulo lo use de inmediato y funciona perfecto
43,"Excelente calidad, diseño elegante y precio razonable.",positivo,excelente calidad diseno elegante y precio razonable
44,"Llevo una semana usándolo y sin ningún problema, genial.",positivo,llevo una semana usandolo y sin ningun problema genial
45,"Producto muy bueno, llegó antes de lo prometido.",positivo,producto muy bueno llego antes de lo prometido
46,"El artículo es igual a las fotos, de muy buena calidad.",positivo,el articulo es igual a las fotos de muy buena calidad
47,"Quedé muy satisfecho, el envío fue rápido y el producto impecable.",positivo,quede muy satisfecho el envio fue rapido y el producto impecable
48,"Funciona a la perfección, justo lo que necesitaba.",positivo,funciona a la perfeccion justo lo que necesitaba
49,"Todo excelente, desde la compra hasta la entrega.",positivo,todo excelente desde la compra hasta la entrega
50,"Recomendado al 100%, producto de calidad garantizada.",positivo,recomendado al 100 producto de calidad garantizada
51,El producto llegó muy bien embalado y funciona perfecto.,positivo,el producto llego muy bien embalado y funciona perfecto
52,"Excelente vendedor, envío rápido y producto de calidad.",positivo,excelente vendedor envio rapido y producto de calidad
53,"Muy buena compra, el artículo superó mis expectativas.",positivo,muy buena compra el articulo supero mis expectativas
54,"Producto de primera, el empaque estaba impecable.",positivo,producto de primera el empaque estaba impecable
55,Llegó antes del tiempo estimado y en perfectas condiciones.,positivo,llego antes del tiempo estimado y en perfectas condiciones
56,"Muy contento con mi compra, el artículo es de calidad.",positivo,muy contento con mi compra el articulo es de calidad
57,"Excelente artículo, fácil de usar y muy duradero.",positivo,excelente articulo facil de usar y muy duradero
58,"Rápida entrega, producto en perfectas condiciones.",positivo,rapida entrega producto en perfectas condiciones
59,"Muy satisfecho, el producto funciona excelente.",positivo,muy satisfecho el producto funciona excelente
60,"Gran producto, gran vendedor. Volveré a comprar.",positivo,gran producto gran vendedor volvere a comprar
61,"Todo llegó perfecto, el producto es de alta calidad.",positivo,todo llego perfecto el producto es de alta calidad
62,"Excelente calidad-precio, lo recomiendo ampliamente.",positivo,excelente calidad precio lo recomiendo ampliamente
63,El envío fue muy puntual y el producto sin fallas.,positivo,el envio fue muy puntual y el producto sin fallas
64,"Producto de calidad, llegó embalado correctamente.",positivo,producto de calidad llego embalado correctamente
65,"Me gustó mucho el artículo, cumple perfectamente su función.",positivo,me gusto mucho el articulo cumple perfectamente su funcion
66,"Muy buen producto, lo recomendaría a cualquiera.",positivo,muy buen producto lo recomendaria a cualquiera
67,"Excelente, el artículo es tal como se describe. Muy feliz.",positivo,excelente el articulo es tal como se describe muy feliz
68,Llegó rápido y bien empacado. Producto de alta calidad.,positivo,llego rapido y bien empacado producto de alta calidad
69,"Muy buen artículo, funciona a la perfección desde el primer día.",positivo,muy buen articulo funciona a la perfeccion desde el primer dia
70,"Producto genial, el envío muy rápido. Totalmente recomendado.",positivo,producto genial el envio muy rapido totalmente recomendado
71,"Excelente experiencia, el producto superó mis expectativas.",positivo,excelente experiencia el producto supero mis expectativas
72,Muy buena calidad y precio justo. Lo recomiendo.,positivo,muy buena calidad y precio justo lo recomiendo
73,"Quedé encantado con el producto, llegó impecable.",positivo,quede encantado con el producto llego impecable
74,"Todo perfecto, producto de calidad y envío veloz.",positivo,todo perfecto producto de calidad y envio veloz
75,"Increíble relación calidad-precio, sin duda lo recomiendo.",positivo,increible relacion calidad precio sin duda lo recomiendo
76,"Producto llegó roto, muy decepcionado con la compra.",negativo,producto llego roto muy decepcionado con la compra
77,Tardó demasiado en llegar y cuando llegó estaba dañado.,negativo,tardo demasiado en llegar y cuando llego estaba danado
78,"Pésima calidad, se rompió al primer uso.",negativo,pesima calidad se rompio al primer uso
79,El producto no es como en las fotos. Me sentí estafado.,negativo,el producto no es como en las fotos me senti estafado
80,"Muy mala experiencia, el vendedor no respondió mis mensajes.",negativo,muy mala experiencia el vendedor no respondio mis mensajes
81,"El artículo llegó incompleto, faltaban piezas esenciales.",negativo,el articulo llego incompleto faltaban piezas esenciales
82,"Producto de muy baja calidad, no lo recomiendo para nada.",negativo,producto de muy baja calidad no lo recomiendo para nada
83,"El envío tardó el doble de lo prometido, muy molesto.",negativo,el envio tardo el doble de lo prometido muy molesto
84,Llegó con la caja destruida y el producto rayado.,negativo,llego con la caja destruida y el producto rayado
85,No funciona como se describe. Completamente inútil.,negativo,no funciona como se describe completamente inutil
86,"Pésimo vendedor, no hace seguimiento del envío.",negativo,pesimo vendedor no hace seguimiento del envio
87,"El producto huele muy mal, parece usado o de segunda mano.",negativo,el producto huele muy mal parece usado o de segunda mano
88,"No vale lo que cuesta, calidad muy inferior a lo esperado.",negativo,no vale lo que cuesta calidad muy inferior a lo esperado
89,"El artículo llegó en mal estado, el empaque estaba abierto.",negativo,el articulo llego en mal estado el empaque estaba abierto
90,Muy decepcionado con la compra. Nunca más compraré aquí.,negativo,muy decepcionado con la compra nunca mas comprare aqui
91,"El producto no enciende, llegó sin funcionar.",negativo,el producto no enciende llego sin funcionar
92,"Muy mala calidad, el material es plástico barato.",negativo,muy mala calidad el material es plastico barato
93,Tardaron semanas en entregar y llegó dañado. Inaceptable.,negativo,tardaron semanas en entregar y llego danado inaceptable
94,El color del producto es completamente diferente al de las fotos.,negativo,el color del producto es completamente diferente al de las fotos
95,"No sirve, tuve que devolverlo inmediatamente.",negativo,no sirve tuve que devolverlo inmediatamente
96,Artículo defectuoso desde el primer uso. Muy molesto.,negativo,articulo defectuoso desde el primer uso muy molesto
97,"Pésima experiencia de compra, el vendedor es irresponsable.",negativo,pesima experiencia de compra el vendedor es irresponsable
98,El producto se desarmó al primer día de uso. Muy mala calidad.,negativo,el producto se desarmo al primer dia de uso muy mala calidad
99,El envío fue un desastre y el producto llegó en malas condiciones.,negativo,el envio fue un desastre y el producto llego en malas condiciones
100,"No recomiendo este vendedor, el producto no cumple lo prometido.",negativo,no recomiendo este vendedor el producto no cumple lo prometido
101,"La calidad es una decepción total, no vale la pena.",negativo,la calidad es una decepcion total no vale la pena
102,El producto llegó con piezas faltantes y sin instrucciones.,negativo,el producto llego con piezas faltantes y sin instrucciones
103,Muy mala compra. El artículo no funciona correctamente.,negativo,muy mala compra el articulo no funciona correctamente
104,"El vendedor ignoró mis reclamaciones, pésimo servicio.",negativo,el vendedor ignoro mis reclamaciones pesimo servicio
105,El empaque estaba completamente destruido al llegar.,negativo,el empaque estaba completamente destruido al llegar
106,"No coincide con la descripción, me siento engañado.",negativo,no coincide con la descripcion me siento enganado
107,"Producto falsificado, no es la marca original que anunciaban.",negativo,producto falsificado no es la marca original que anunciaban
108,"Llegó tarde y en malas condiciones, muy frustrado.",negativo,llego tarde y en malas condiciones muy frustrado
109,"El artículo es de plástico muy frágil, se rompió al sacarlo.",negativo,el articulo es de plastico muy fragil se rompio al sacarlo
110,"Muy mala experiencia, no volvería a comprar en esta tienda.",negativo,muy mala experiencia no volveria a comprar en esta tienda
111,El producto no enciende ni con las pilas nuevas.,negativo,el producto no enciende ni con las pilas nuevas
112,Esperé semanas y el producto llegó incorrecto. Horrible.,negativo,espere semanas y el producto llego incorrecto horrible
113,"El material es de muy baja calidad, no dura nada.",negativo,el material es de muy baja calidad no dura nada
114,"Pésimo empaque, el producto llegó todo golpeado.",negativo,pesimo empaque el producto llego todo golpeado
115,El artículo es mucho más pequeño de lo que indicaban las medidas.,negativo,el articulo es mucho mas pequeno de lo que indicaban las medidas
116,"Producto inútil, no cumple ninguna de sus funciones.",negativo,producto inutil no cumple ninguna de sus funciones
117,Me llegó un producto diferente al que compré. Inaceptable.,negativo,me llego un producto diferente al que compre inaceptable
118,El vendedor no responde y el producto está defectuoso.,negativo,el vendedor no responde y el producto esta defectuoso
119,"Muy decepcionante, la calidad es pésima para el precio que tiene.",negativo,muy decepcionante la calidad es pesima para el precio que tiene
120,El artículo llegó sin garantía y con fallas evidentes.,negativo,el articulo llego sin garantia y con fallas evidentes
121,"No vale ni la mitad de lo que cuesta, una estafa total.",negativo,no vale ni la mitad de lo que cuesta una estafa total
122,"Producto con fallas de fábrica, completamente inservible.",negativo,producto con fallas de fabrica completamente inservible
123,Tardó demasiado en llegar y no es lo que pedí. Terrible.,negativo,tardo demasiado en llegar y no es lo que pedi terrible
124,"Muy mala compra, el artículo se deterioró en días.",negativo,muy mala compra el articulo se deterioro en dias
125,"El producto es una copia barata, nada que ver con el original.",negativo,el producto es una copia barata nada que ver con el original
126,"Pésima experiencia de compra, no lo recomiendo.",negativo,pesima experiencia de compra no lo recomiendo
127,El producto no funciona con el voltaje de mi país.,negativo,el producto no funciona con el voltaje de mi pais
128,La pantalla se rayó sola en el primer día.,negativo,la pantalla se rayo sola en el primer dia
129,"Producto de muy baja calidad, una completa decepción.",negativo,producto de muy baja calidad una completa decepcion
130,El producto llegó dañado desde el exterior. Pésimo empaque del vendedor.,negativo,el producto llego danado desde el exterior pesimo empaque del vendedor
131,"El producto vino completamente diferente al que pedí, un fraude total.",negativo,el producto vino completamente diferente al que pedi un fraude total
132,"Se rompió a los dos días de uso, calidad deplorable.",negativo,se rompio a los dos dias de uso calidad deplorable
133,"El vendedor no respondió mis reclamaciones, pésimo servicio posventa.",negativo,el vendedor no respondio mis reclamaciones pesimo servicio posventa
134,El artículo llegó sucio y con evidentes señales de uso previo.,negativo,el articulo llego sucio y con evidentes senales de uso previo
135,"Compré dos unidades y ambas llegaron defectuosas, terrible.",negativo,compre dos unidades y ambas llegaron defectuosas terrible
136,El envío tardó un mes y el producto llegó en malas condiciones.,negativo,el envio tardo un mes y el producto llego en malas condiciones
137,"No encendió ni una sola vez, producto inservible desde la caja.",negativo,no encendio ni una sola vez producto inservible desde la caja
138,El embalaje era tan malo que el artículo estaba completamente aplastado.,negativo,el embalaje era tan malo que el articulo estaba completamente aplastado
139,Producto con partes faltantes y sin posibilidad de reclamación.,negativo,producto con partes faltantes y sin posibilidad de reclamacion
140,"La descripción es completamente engañosa, no es lo que parece.",negativo,la descripcion es completamente enganosa no es lo que parece
141,El material es tan débil que se deformó solo al sacarlo del empaque.,negativo,el material es tan debil que se deformo solo al sacarlo del empaque
142,Llegó sin la garantía prometida y con instrucciones en idioma desconocido.,negativo,llego sin la garantia prometida y con instrucciones en idioma desconocido
143,El color era totalmente diferente y el vendedor no acepta devoluciones.,negativo,el color era totalmente diferente y el vendedor no acepta devoluciones
144,Artículo de imitación barata vendido como producto original. Estafa.,negativo,articulo de imitacion barata vendido como producto original estafa
145,"El cable se quemó al primer uso, producto peligroso.",negativo,el cable se quemo al primer uso producto peligroso
146,El envío fue enviado a la dirección equivocada por descuido del vendedor.,negativo,el envio fue enviado a la direccion equivocada por descuido del vendedor
147,No cumple ninguna de las especificaciones técnicas que anunciaba.,negativo,no cumple ninguna de las especificaciones tecnicas que anunciaba
148,El producto huele a químicos fuertes y es inutilizable.,negativo,el producto huele a quimicos fuertes y es inutilizable
149,Me cobraron dos veces y el vendedor se niega a reembolsar.,negativo,me cobraron dos veces y el vendedor se niega a reembolsar
150,La batería no carga y el vendedor dice que es culpa del usuario.,negativo,la bateria no carga y el vendedor dice que es culpa del usuario
151,"El producto cumple su función, aunque el nivel de ruido es mayor al esperado.",mixto,el producto cumple su funcion aunque el nivel de ruido es mayor al esperado
152,"El producto es bueno, pero el envío tardó más de lo prometido.",mixto,el producto es bueno pero el envio tardo mas de lo prometido
153,"Buena calidad, aunque el empaque llegó un poco golpeado.",mixto,buena calidad aunque el empaque llego un poco golpeado
154,"Me gustó el artículo, sin embargo tuve problemas con el vendedor.",mixto,me gusto el articulo sin embargo tuve problemas con el vendedor
155,"El producto funciona bien, pero la instrucciones están en otro idioma.",mixto,el producto funciona bien pero la instrucciones estan en otro idioma
156,"Llegó rápido, pero le faltaba un accesorio que venía en la foto.",mixto,llego rapido pero le faltaba un accesorio que venia en la foto
157,"Buen producto en general, aunque el color es diferente al de las fotos.",mixto,buen producto en general aunque el color es diferente al de las fotos
158,"La calidad es aceptable, pero esperaba algo mejor por ese precio.",mixto,la calidad es aceptable pero esperaba algo mejor por ese precio
159,"El artículo cumple su función, aunque el material podría ser mejor.",mixto,el articulo cumple su funcion aunque el material podria ser mejor
160,"Buen vendedor, pero el producto tardó más de lo anunciado.",mixto,buen vendedor pero el producto tardo mas de lo anunciado
161,"El producto es correcto, aunque las instrucciones no son muy claras.",mixto,el producto es correcto aunque las instrucciones no son muy claras
162,"Me gustó mucho el diseño, pero tuve problemas al instalarlo.",mixto,me gusto mucho el diseno pero tuve problemas al instalarlo
163,"Funciona bien, aunque el empaque llegó con algunos golpes.",mixto,funciona bien aunque el empaque llego con algunos golpes
164,"El artículo es bonito, pero la calidad no justifica el precio.",mixto,el articulo es bonito pero la calidad no justifica el precio
165,"Buena experiencia en general, aunque la atención al cliente podría mejorar.",mixto,buena experiencia en general aunque la atencion al cliente podria mejorar
166,"El producto llegó a tiempo, pero faltaban dos tornillos para armarlo.",mixto,el producto llego a tiempo pero faltaban dos tornillos para armarlo
167,"Es un buen artículo, aunque el tamaño es un poco menor al esperado.",mixto,es un buen articulo aunque el tamano es un poco menor al esperado
168,"El envío fue rápido, pero el producto tiene un pequeño defecto estético.",mixto,el envio fue rapido pero el producto tiene un pequeno defecto estetico
169,"Me agradó el producto, aunque el vendedor tardó en confirmar el pedido.",mixto,me agrado el producto aunque el vendedor tardo en confirmar el pedido
170,"Funciona correctamente, pero el cable incluido es de mala calidad.",mixto,funciona correctamente pero el cable incluido es de mala calidad
171,"Buen producto por el precio, aunque el acabado podría ser mejor.",mixto,buen producto por el precio aunque el acabado podria ser mejor
172,"El artículo es funcional, pero llegó con la caja abierta.",mixto,el articulo es funcional pero llego con la caja abierta
173,"Calidad aceptable, aunque tuve que esperar más de lo normal para recibirlo.",mixto,calidad aceptable aunque tuve que esperar mas de lo normal para recibirlo
174,"El producto se ve bien, pero al usarlo noto que no es tan resistente.",mixto,el producto se ve bien pero al usarlo noto que no es tan resistente
175,"Buen precio y buena calidad, aunque la entrega tuvo un retraso.",mixto,buen precio y buena calidad aunque la entrega tuvo un retraso
176,"El artículo cumple lo básico, pero esperaba más funciones.",mixto,el articulo cumple lo basico pero esperaba mas funciones
177,"El vendedor es atento, aunque el producto tiene algunas imperfecciones.",mixto,el vendedor es atento aunque el producto tiene algunas imperfecciones
178,"Me llegó rápido, pero el artículo no coincide exactamente con la descripción.",mixto,me llego rapido pero el articulo no coincide exactamente con la descripcion
179,"El producto es útil, pero el manual de instrucciones es muy confuso.",mixto,el producto es util pero el manual de instrucciones es muy confuso
180,"Buena compra en general, aunque el empaque interno era muy básico.",mixto,buena compra en general aunque el empaque interno era muy basico
181,"El artículo funciona, pero el material se siente algo frágil.",mixto,el articulo funciona pero el material se siente algo fragil
182,"Buen diseño y buen precio, aunque tardó más de lo esperado.",mixto,buen diseno y buen precio aunque tardo mas de lo esperado
183,"El producto cumple su función, pero le falta durabilidad.",mixto,el producto cumple su funcion pero le falta durabilidad
184,"Llegó bien, aunque el color no era exactamente el que mostrada la foto.",mixto,llego bien aunque el color no era exactamente el que mostrada la foto
185,"La calidad es buena, pero el proceso de compra fue complicado.",mixto,la calidad es buena pero el proceso de compra fue complicado
186,"Me gustó el producto, aunque tuve que contactar al vendedor por un problema menor.",mixto,me gusto el producto aunque tuve que contactar al vendedor por un problema menor
187,"El artículo es bonito y práctico, aunque el envío fue lento.",mixto,el articulo es bonito y practico aunque el envio fue lento
188,"Funciona bien en general, pero la batería no dura tanto como decían.",mixto,funciona bien en general pero la bateria no dura tanto como decian
189,"Buena relación calidad-precio, aunque la atención posventa es mejorable.",mixto,buena relacion calidad precio aunque la atencion posventa es mejorable
190,"El producto llegó completo, pero un detalle del acabado estaba mal.",mixto,el producto llego completo pero un detalle del acabado estaba mal
191,"Es lo que buscaba, aunque el tamaño es ligeramente diferente al indicado.",mixto,es lo que buscaba aunque el tamano es ligeramente diferente al indicado
