"id","texto_original","texto_procesado","etiqueta_real","etiqueta_predicha","modelo"
"369","Recibí el pedido completo y sin cambios.","recibir pedido completo sin cambio","neutro","neutro","LinearSVC"
"381","La compra no presentó problemas relevantes.","compra no presentar problema relevante","neutro","positivo","LinearSVC"
"39","Me gustó que el paquete venía bien protegido.","gustar paquete venir bien protegido","positivo","positivo","LinearSVC"
"367","El artículo es como aparece en la descripción.","artículo aparecer descripción","neutro","neutro","LinearSVC"
"501","El envío fue rápido, pero el producto tenía un pequeño rayón.","envío rápido pero producto pequeño rayón","mixto","mixto","LinearSVC"
"430","La compra del licuadora se realizó sin cambios.","compra licuadora sin cambio","neutro","neutro","LinearSVC"
"827","Lo compré para uso doméstico.","comprar uso doméstico","neutro","neutro","LinearSVC"
"603","La plancha llegó en una caja color café y contiene los accesorios mostrados.","plancha caja color café contener accesorio mostrado","neutro","neutro","LinearSVC"
"755","Lo pedí en color negro y llegó en color negro.","pedir color negro color negro","neutro","neutro","LinearSVC"
"582","El pantalón sirve, pero no es igual a la foto.","pantalón servir pero no foto","mixto","mixto","LinearSVC"
"52","Buena relación calidad precio, lo recomiendo.","buen relación calidad precio recomeir","positivo","positivo","LinearSVC"
"916","La licuadora funciona bien, pero la entrega llegó tarde y la caja venía maltratada.","licuadora funcionar bien pero entrega tarde caja venir maltratado","mixto","mixto","LinearSVC"
"754","La freidora llegó incompleta y no pude usarla como debería.","freidora incompleta no deber","negativo","negativo","LinearSVC"
"925","Lo probé varios días antes de opinar y el power bank sigue funcionando sin problema.","prober opinar power bank funcionar sin problema","positivo","positivo","LinearSVC"
"995","Recibí el power bank hoy; todavía no hago pruebas.","recibir power bank no prueba","neutro","neutro","LinearSVC"
"313","sin novedad","sin novedad","neutro","neutro","LinearSVC"
"557","Me gustó el precio del figura, pero el material no tanto. jeje","gustar precio figura pero material no jeje","mixto","mixto","LinearSVC"
"768","El precio es bueno, sin embargo tiene algunos detalles de fabricación.","precio bueno sin embargo detalle fabricación","mixto","mixto","LinearSVC"
"262","El short llegó dañado y no funciona.","short dañado no funcionar","negativo","negativo","LinearSVC"
"801","Muy bueno!!","bueno","positivo","positivo","LinearSVC"
"608","Me gustó el diseño, pero no la sensación del material.","gustar diseño pero no sensación material","mixto","mixto","LinearSVC"
"374","La entrega llegó en el horario aproximado.","entrega horario aproximado","neutro","neutro","LinearSVC"
"756","Me gustó el diseño, pero no la sensación del material.","gustar diseño pero no sensación material","mixto","mixto","LinearSVC"
"210","El cierre de la mochila se rompió el primer día.","cierre mochila romper","negativo","negativo","LinearSVC"
"508","El artículo sirve, aunque no trae todos los accesorios esperados.","artículo servir aunque no traer accesorio esperado","mixto","mixto","LinearSVC"
"471","El producto funciona bien, pero llegó con la caja un poco golpeada.","producto funcionar bien pero caja golpeado","mixto","mixto","LinearSVC"
"763","La entrega se realizó en la fecha indicada.","entrega fecha indicado","neutro","neutro","LinearSVC"
"335","El pedido llegó correctamente y sin observaciones.","pedido correctamente sin observación","neutro","neutro","LinearSVC"
"1000","Tiene buen desempeño, pero el empaque dejó mucho que desear.","buen desempeño pero empaque desear","mixto","mixto","LinearSVC"
"98","El producto me sorprendió bastante porque se siente resistente, tiene buen acabado y el precio fue razonable para la calidad que ofrece.","producto sorprender resistente buen acabado precio razonable calidad ofrecer","positivo","positivo","LinearSVC"
"23","Excelente compra, llegó antes de lo esperado y funciona sin fallas.","excelente compra esperado funcionar sin falla","positivo","positivo","LinearSVC"
"464","esta bonito aunq venia sucio","bonito aunq venia sucio","mixto","mixto","LinearSVC"
"857","Me gustó mucho el organizador; es fácil de usar, útil y tiene buen acabado.","gustar organizador fácil útil buen acabado","positivo","positivo","LinearSVC"
"133","El pantalón está mejor de lo que esperaba. :)","pantalón mejor esperar","positivo","positivo","LinearSVC"
"542","Me gustó el precio, pero el material no se siente premium.","gustar precio pero material no premium","mixto","mixto","LinearSVC"
"333","El producto funciona como se indica en la descripción.","producto funcionar indicar descripción","neutro","neutro","LinearSVC"
"870","Nada que ver con la descripción, no lo recomiendo.","descripción no recomeir","negativo","negativo","LinearSVC"
"884","Funciona y se ve bien, pero hace más ruido de lo que pensé.","funcionar bien pero ruido pensar","mixto","mixto","LinearSVC"
"850","Decepcionante: mala calidad, mal acabado y cero confianza.","decepcionante malo calidad acabado confianza","negativo","negativo","LinearSVC"
"711","Ya lo recibí.","recibir","neutro","neutro","LinearSVC"
"689","La cámara llegó antes de la fecha y venía muy bien protegida.","cámara fecha venir bien protegido","positivo","positivo","LinearSVC"
"932","Cumple, pero pudo estar mejor.","cumplir pero mejor","mixto","mixto","LinearSVC"
"413","mmm El gel tiene presentación estándar.!!!","mmm gel presentación estándar","neutro","neutro","LinearSVC"
"396","El producto fue recibido dentro del periodo estimado; al revisarlo, corresponde al modelo publicado y no se identificaron diferencias importantes.","producto recibir periodo estimado corresponder modelo publicado no identificar diferencia importante","neutro","neutro","LinearSVC"
"38","El producto se ve de buena calidad y llegó sin golpes.","producto buen calidad sin golpe","positivo","positivo","LinearSVC"
"944","No está mal, pero tampoco diría que es excelente.","no pero excelente","mixto","mixto","LinearSVC"
"606","La neta salió malo, no duró ni una semana.","neta salir malo no durar semana","negativo","negativo","LinearSVC"
"390","El producto tiene un uso sencillo.","producto uso sencillo","neutro","neutro","LinearSVC"
"713","No tengo quejas sobre los tenis; todo llegó completo y funciona como debe.","no queja tenis completo funcionar","positivo","positivo","LinearSVC"
"805","10/10, sí lo volvería a comprar.","volver comprar","positivo","positivo","LinearSVC"
"380","El producto es simple y cumple su propósito.","producto simple cumplir propósito","neutro","neutro","LinearSVC"
"844","No está mal, pero tampoco diría que es excelente.","no pero excelente","mixto","mixto","LinearSVC"
"842","No volvería a comprarlo, mejor gasten un poco más en otra opción.","no volver mejor gastar opción","negativo","negativo","LinearSVC"
"189","La app falló al pagar y aun así me hicieron el cargo.","app fallar pagar cargo","negativo","negativo","LinearSVC"
"638","El celular funcionó una vez y después ya no quiso prender.","celular funcionar no querer prender","negativo","negativo","LinearSVC"
"344","El producto tiene un diseño común y funcional.","producto diseño común funcional","neutro","positivo","LinearSVC"
"752","Sí hace su función, aunque a veces se traba.","función aunque trar","mixto","mixto","LinearSVC"
"266","mmm Pésima compra, el cargador falló rápido. jeje","mmm pésimo comprar cargador fallar rápido jeje","negativo","negativo","LinearSVC"
"738","La bocina funcionó una vez y después ya no quiso prender.","bocina funcionar no querer prender","negativo","negativo","LinearSVC"
"249","No pude usar el producto porque llegó incompleto, sin manual y con una pieza rota; además, el soporte tardó demasiado en contestar.","no producto incompleto sin manual pieza roto soporte tardar contestar","negativo","negativo","LinearSVC"
"680","La compra estuvo bien en general, pero el color no coincide totalmente con la foto.","compra bien general pero color no coincidir totalmente foto","mixto","mixto","LinearSVC"
"485","Buen precio, aunque la calidad no es tan alta.","buen precio aunque calidad no alto","mixto","mixto","LinearSVC"
"846","Aunque intenté usarlo varias veces, nunca funcionó bien.","aunque intentar nunca funcionar bien","negativo","negativo","LinearSVC"
"878","Me arrepentí de comprarlo; no cumplió ni con lo básico.","arrepentir no cumplir básico","negativo","negativo","LinearSVC"
"346","El envío se realizó conforme al tiempo señalado.","envío conforme tiempo señalado","neutro","neutro","LinearSVC"
"710","Aunque se veía bien en las fotos, el teclado llegó con detalles y no funciona correctamente.","aunque bien foto teclado detalle no funcionar correctamente","negativo","negativo","LinearSVC"
"198","No sirve como lo prometen, fue dinero perdido.","no servir prometer dinero perdido","negativo","negativo","LinearSVC"
"285","No sirve el chamarra, fue dinero perdido.","no servir chamarra dinero perdido","negativo","negativo","LinearSVC"
"102","Buen producto, el plancha de cabello cumple con lo prometido. jeje","buen producto plancha cabello cumplir prometido jeje","positivo","positivo","LinearSVC"
"957","El precio me parecía sospechosamente bajo, pero la compra salió buena.","precio parecer sospechosamente pero compra salir buen","positivo","positivo","LinearSVC"
"601","Pensé que por el precio iba a estar regular, sin embargo los audífonos me sorprendieron para bien.","pensar precio regular sin embargo audífono sorprender bien","positivo","positivo","LinearSVC"
"316","es lo que dice","ser que decir","neutro","neutro","LinearSVC"
"499","El diseño me encantó, pero el material se siente frágil.","diseño encantar pero material frágil","mixto","mixto","LinearSVC"
"312","llego ok","llego","neutro","positivo","LinearSVC"
"298","ok, No sirve el gel, fue dinero perdido. pero bueno","no servir gel dinero perdido pero bueno","negativo","negativo","LinearSVC"
"886","La calidad es muy mala y el material se siente corriente.","calidad malo material corriente","negativo","negativo","LinearSVC"
"441","El audífonos corresponde a la descripción.","audífono corresponder descripción","neutro","neutro","LinearSVC"
"472","Me gustó el diseño, aunque la calidad del material pudo ser mejor.","gustar diseño aunque calidad material mejor","mixto","mixto","LinearSVC"
"785","No tengo quejas sobre la bocina; todo llegó completo y funciona como debe.","no queja bocina completo funcionar","positivo","positivo","LinearSVC"
"817","Buena compra: práctico, funcional y sin detalles visibles.","buen compra práctico funcional sin detalle visible","positivo","positivo","LinearSVC"
"833","Lo probé varios días antes de opinar y el cargador sigue funcionando sin problema.","prober opinar cargador funcionar sin problema","positivo","positivo","LinearSVC"
"760","Llegó rápido y bien empacado, pero venía un accesorio faltante.","rápido bien empacado pero venir accesorio faltante","mixto","mixto","LinearSVC"
"830","Pensé que sería aceptable por el precio, pero fue una mala compra.","pensar aceptable precio pero malo compra","negativo","negativo","LinearSVC"
"572","El licuadora está bonito, pero se siente frágil.","licuadora bonito pero frágil","mixto","mixto","LinearSVC"
"832","Cumple, pero pudo estar mejor.","cumplir pero mejor","mixto","mixto","LinearSVC"
"970","Nada que ver con la descripción, no lo recomiendo.","descripción no recomeir","negativo","negativo","LinearSVC"
"974","El empaque estaba bien, pero por dentro venía dañado.","empaque bien pero venir dañado","negativo","negativo","LinearSVC"
"645","No pensé decirlo, pero sí valió la pena comprar el teclado.","no pensar pero valer pena comprar teclado","positivo","positivo","LinearSVC"
"428","El zapatos es igual al publicado.","zapato publicado","neutro","neutro","LinearSVC"
"945","La entrega estuvo rápida y los tenis llegaron tal cual se anunciaban.","entrega rápido teni llegar anunciar","positivo","positivo","LinearSVC"
"55","La camiseta tiene buen color y la tela está suave.","camiseta buen color tela suave","positivo","positivo","LinearSVC"
"877","Por fin algo que sí cumple lo que dice la publicación.","cumplir publicación","positivo","positivo","LinearSVC"
"998","No cumplió mis expectativas y el soporte tampoco resolvió el problema.","no cumplir expectativa soporte resolver problema","negativo","negativo","LinearSVC"
"468","cumple pero esperaba mas","cumplir pero esperar","mixto","mixto","LinearSVC"
"54","La licuadora tiene buena potencia y funciona excelente.","licuadora buen potencia funcionar excelente","positivo","positivo","LinearSVC"
