"id","texto_original","texto_procesado","etiqueta_real","etiqueta_predicha","modelo"
"381","La compra no presentó problemas relevantes.","compra no presentar problema relevante","neutro","positivo","LinearSVC"
"344","El producto tiene un diseño común y funcional.","producto diseño común funcional","neutro","positivo","LinearSVC"
"312","llego ok","llego","neutro","positivo","LinearSVC"
"4","10/10.","num_10 num_10","positivo","neutro","LinearSVC"
"12","funciona bn","funcionar","positivo","neutro","LinearSVC"
"50","El artículo está bonito y se nota que es durable.","artículo bonito notar durable","positivo","mixto","LinearSVC"
"304","Cumple.","cumplir","neutro","positivo","LinearSVC"
"159","Nada que ver.","nada que ver","negativo","neutro","LinearSVC"
"365","El producto puede utilizarse para lo que fue comprado.","producto comprar","neutro","positivo","LinearSVC"
"83","El producto llegó sin fallas y listo para usar.","producto sin falla listo","positivo","neutro","LinearSVC"
"218","Estoy muy decepcionado, no volvería a comprar aquí.","decepcionado no volver comprar","negativo","positivo","LinearSVC"
"187","Me llegó un producto diferente al que compré.","producto comprar","negativo","positivo","LinearSVC"
"78","El empaque estaba cerrado y bien protegido.","empaque cerrado bien protegido","positivo","neutro","LinearSVC"
"32","Los audífonos se escuchan muy bien y la batería dura bastante.","audífono escuchar bien batería duro","positivo","mixto","LinearSVC"
