"id","etiqueta_original","texto_original","top_terminos_tfidf"
"1","positivo","Excelente.","excelente:4.6507"
"2","positivo","Muy bueno.","bueno:4.5415"
"3","positivo","Me encantó.","encantar:5.0184"
"4","positivo","10/10.","num_10:7.2156"
"5","positivo","Super bien.","super:3.6078, bien:1.6419"
"6","positivo","Todo perfecto.","perfecto:4.9643"
"7","positivo","Recomendado.","recomendado:7.2156"
"8","positivo","Sí sirve.","servir:4.4430"
"9","positivo","Buenísimo!!","buenísimo:7.2156"
"10","positivo","Me gusto mucho.","gustar:3.6183"
"11","positivo","Esta chido.","chido:6.8101"
"12","positivo","funciona bn","funcionar:3.1992"
"13","positivo","llego rapido","rapido:3.2612, llego:3.0585"
"14","positivo","muy buen producto!!!","buen:1.6881, producto:1.5907"
"15","positivo","exelente compra","exelente:3.4051, compra:1.8672"
"16","positivo","me yego en buen estado","yeguir:3.6078, buen:1.6881"
"17","positivo","todo ok","todo:6.8101"
"18","positivo","sin quejas","queja:2.9147, sin:1.7157"
"19","positivo","jalo perfecto","jalo:3.6078, perfecto:2.4822"
"20","positivo","esta padre","padre:6.8101"
"21","positivo","El producto llegó rápido y en muy buen estado, la verdad me gustó bastante.","rápido:1.0488, gustar:0.9046, buen:0.8440, producto:0.7953"
"22","positivo","Me encantó la calidad, se siente resistente y cumple perfecto con lo que necesitaba.","necesitar:1.2026, resistente:0.8459, encantar:0.8364, perfecto:0.8274, cumplir:0.6224"
"23","positivo","Excelente compra, llegó antes de lo esperado y funciona sin fallas.","esperado:0.9938, falla:0.8188, excelente:0.7751, compra:0.6224, sin:0.5719"
"24","positivo","Muy buen artículo, el precio está justo y la entrega fue rápida.","justo:1.1350, entrega:0.7628, rápido:0.6992, artículo:0.6695, precio:0.6502"
"25","positivo","El pedido llegó completo, bien empacado y sin ningún detalle.","empacado:0.8783, detalle:0.7569, pedido:0.7569, completo:0.7119, sin:0.5719"
"26","positivo","La app fue fácil de usar y pude comprar sin problemas.","app:1.0848, fácil:1.0151, comprar:0.9226, problema:0.9153, sin:0.6863"
"27","positivo","Me gustó mucho el producto, es igual al de las fotos.","foto:1.5769, gustar:1.2061, producto:1.0605"
"28","positivo","Buena calidad, buen tamaño y buena presentación.","buen:1.6881, tamaño:0.9938, presentación:0.7751, calidad:0.5857"
"29","positivo","El envío fue puntual y el producto llegó impecable.","impecable:1.8039, puntual:1.7025, envío:1.2161, producto:0.7953"
"30","positivo","Funciona perfecto desde el primer día, muy recomendable.","recomendable:2.0390, perfecto:1.6548, funcionar:1.0664"
"31","positivo","La tela se siente cómoda y la talla fue correcta.","correcto:1.5292, cómodo:1.5292, tela:1.5292, talla:1.4573"
"32","positivo","Los audífonos se escuchan muy bien y la batería dura bastante.","escuchar:1.3045, audífono:1.1022, duro:1.0272, batería:0.9826, bien:0.6568"
"33","positivo","El cargador carga rápido y no se calienta, excelente.","carga:1.1350, calentar:0.9344, cargador:0.8783, excelente:0.7751, rápido:0.6992"
"34","positivo","El juguete llegó completo y a mi sobrino le encantó.","sobrino:1.8039, juguete:1.3560, encantar:1.2546, completo:1.0678"
"35","positivo","La crema llegó sellada y con muy buena presentación.","sellado:1.8039, crema:1.3360, presentación:1.1627, buen:0.8440"
"36","positivo","El sartén es práctico y no se pega la comida.","comida:1.4431, pegar:1.4431, sartén:1.2599, práctico:1.0688, no:0.4735"
"37","positivo","Muy satisfecho con la compra, todo salió mejor de lo esperado.","satisfecho:1.2234, esperado:1.1926, salir:0.9728, mejor:0.8204, compra:0.7469"
"38","positivo","El producto se ve de buena calidad y llegó sin golpes.","golpe:1.0848, calidad:0.7029, sin:0.6863, buen:0.6752, producto:0.6363"
"39","positivo","Me gustó que el paquete venía bien protegido.","protegido:1.1926, paquete:0.9226, venir:0.7469, gustar:0.7237, bien:0.6568"
"40","positivo","Excelente atención y el pedido llegó en tiempo.","atención:1.6306, tiempo:1.2283, excelente:1.1627, pedido:1.1354"
"41","positivo","La mochila está amplia, bonita y con buenos acabados.","amplio:1.3620, mochilo:1.2599, acabado:0.9728, bonito:0.9728, buen:0.6752"
"42","positivo","Los tenis son cómodos y se ven de buena calidad.","cómodo:1.5292, tenis:1.3560, calidad:0.8786, buen:0.8440"
"43","positivo","La bocina suena fuerte y claro, superó mis expectativas.","fuerte:1.3620, sonar:1.3620, superar:1.1926, expectativa:1.0848, bocina:1.0539"
"44","positivo","El reloj llegó funcionando bien y se ve elegante.","elegante:1.7025, reloj:1.2689, bien:0.8209, funcionar:0.7998"
"45","positivo","Me encantó el diseño, se ve moderno y resistente.","moderno:1.8039, diseño:1.3360, resistente:1.2689, encantar:1.2546"
"46","positivo","La compra fue sencilla, rápida y segura.","seguro:1.7025, sencillo:1.2840, rápido:1.0488, compra:0.9336"
