id_documento_1,etiqueta_documento_1,id_documento_2,etiqueta_documento_2,similitud_coseno
864,mixto,964,mixto,1.0
787,neutro,887,neutro,1.0
839,neutro,939,neutro,1.0
896,mixto,996,mixto,1.0
770,negativo,970,negativo,1.0
619,neutro,915,neutro,1.0
731,neutro,931,neutro,1.0
686,negativo,986,negativo,1.0
686,negativo,886,negativo,1.0
758,negativo,858,negativo,1.0
686,negativo,786,negativo,1.0
730,negativo,830,negativo,1.0
634,negativo,734,negativo,1.0
771,neutro,871,neutro,1.0
651,neutro,751,neutro,1.0
771,neutro,971,neutro,1.0
620,mixto,724,mixto,1.0
684,mixto,984,mixto,1.0
684,mixto,884,mixto,1.0
732,mixto,832,mixto,1.0
787,neutro,987,neutro,1.0
687,neutro,787,neutro,1.0
687,neutro,887,neutro,1.0
619,neutro,815,neutro,1.0
650,negativo,750,negativo,1.0
688,mixto,988,mixto,1.0
788,mixto,988,mixto,1.0
770,negativo,870,negativo,1.0
688,mixto,888,mixto,1.0
730,negativo,930,negativo,1.0
688,mixto,788,mixto,1.0
619,neutro,715,neutro,1.0
788,mixto,888,mixto,1.0
650,negativo,850,negativo,1.0
555,mixto,599,mixto,1.0
2,positivo,801,positivo,1.0
687,neutro,987,neutro,1.0
758,negativo,958,negativo,1.0
731,neutro,831,neutro,1.0
650,negativo,950,negativo,1.0
634,negativo,834,negativo,1.0
620,mixto,824,mixto,1.0
651,neutro,851,neutro,1.0
684,mixto,784,mixto,1.0
681,positivo,885,positivo,1.0
899,neutro,999,neutro,1.0
621,positivo,929,positivo,1.0
817,positivo,997,positivo,1.0
152,negativo,918,negativo,1.0
855,neutro,955,neutro,1.0
